no,name,listing_date,offering_price,open_price,close_price,open_return,close_return,competition_ratio,lockup_ratio,float_ratio,price_position,band_low,band_high,final_price
2203,대신밸류리츠(유가),2025-07-10,5000,4750,4520,-5.0,-9.6,7.43,4.6,100.0,upper,5000,5000,5000
2194,싸이닉솔루션,2025-07-07,4700,10080,7960,114.46808510638297,69.36170212765957,1289.62,7.91,32.32,upper,4000,4700,4700
2192,뉴엔에이아이(구.알에스엔),2025-07-04,15000,36900,38400,146.0,156.0,995.61,17.18,27.99,upper,13000,15000,15000
2208,KB스팩32호,2025-07-04,2000,2350,1986,17.5,-0.7000000000000001,1154.52,0.0,100.0,upper,2000,2000,2000
2195,지에프씨생명과학,2025-06-30,15300,29550,32550,93.13725490196079,112.74509803921569,1443.69,13.88,58.72,upper,12300,15300,15300
2189,GC지놈(구.GC녹십자지놈),2025-06-11,10500,14300,11100,36.19047619047619,5.714285714285714,547.47,1.04,100.0,upper,9000,10500,10500
2188,링크솔루션,2025-06-10,23000,30000,26250,30.434782608695656,14.130434782608695,1159.43,1.83,52.17,upper,20000,23000,23000
2186,키스트론,2025-06-02,3600,10670,9660,196.38888888888889,168.33333333333334,1140.95,14.95,100.0,upper,3100,3600,3600
2179,신한스팩16호,2025-05-29,2000,2695,2080,34.75,4.0,1219.11,0.0,100.0,upper,2000,2000,2000
2184,인투셀,2025-05-23,17000,37100,33200,118.23529411764706,95.29411764705881,1151.5,11.96,100.0,upper,12500,17000,17000
2185,달바글로벌(구.비모뉴먼트)(유가),2025-05-22,66300,118000,110100,77.97888386123681,66.06334841628959,1140.88,24.24,100.0,upper,54500,66300,66300
2183,바이오비쥬,2025-05-20,9100,23000,18380,152.74725274725273,101.97802197802197,1094.25,12.48,71.83,upper,8000,9100,9100
2178,이뮨온시아,2025-05-19,3600,5600,7500,55.55555555555556,108.33333333333333,897.45,8.22,100.0,upper,3000,3600,3600
2176,로킷헬스케어,2025-05-12,11000,16860,14750,53.27272727272727,34.090909090909086,368.45,8.51,27.66,lower,11000,13000,11000
2180,원일티엔아이,2025-05-09,13500,23600,35900,74.81481481481481,165.92592592592592,1308.07,23.34,100.0,upper,11500,13500,13500
2181,오가노이드사이언스,2025-05-09,21000,25400,32000,20.952380952380953,52.38095238095239,1066.9,6.33,100.0,upper,17000,21000,21000
2175,나우로보틱스(구.나우테크닉스),2025-05-08,6800,17000,15400,150.0,126.47058823529412,1394.96,13.59,28.17,upper,5900,6800,6800
2173,쎄크,2025-04-28,15000,20200,13680,34.66666666666667,-8.799999999999999,1232.54,3.76,51.72,upper,13000,15000,15000
2174,한국피아이엠,2025-04-04,11200,15370,16100,37.23214285714286,43.75,1214.55,5.55,100.0,upper,9300,11200,11200
2170,에이유브랜즈,2025-04-03,16000,28000,18050,75.0,12.812499999999998,816.22,3.21,100.0,upper,14000,16000,16000
2165,더즌,2025-03-24,9000,9270,8080,3.0,-10.222222222222223,461.95,0.72,100.0,below_band,10500,12500,9000
2162,심플랫폼,2025-03-21,15000,21050,14500,40.33333333333333,-3.3333333333333335,1213.84,0.31,62.88,upper,13000,15000,15000
2164,티엑스알로보틱스,2025-03-20,13500,21300,20700,57.77777777777777,53.333333333333336,862.62,6.1,,upper,11500,13500,13500
2161,한텍,2025-03-20,10800,25000,26400,131.4814814814815,144.44444444444443,951.52,19.74,100.0,upper,9200,10800,10800
2171,한화플러스스팩5호,2025-03-20,2000,2030,1971,1.5,-1.4500000000000002,1180.25,0.0,100.0,upper,2000,2000,2000
2169,씨케이솔루션(유가),2025-03-17,15000,27550,18760,83.66666666666667,25.066666666666666,1020.35,5.46,100.0,upper,13500,15000,15000
2167,서울보증보험(유가),2025-03-14,26000,28050,32000,7.884615384615384,23.076923076923077,240.78,16.31,100.0,lower,26000,31800,26000
2166,엠디바이스(구.메가일렉트로닉스),2025-03-07,8350,18000,11100,115.56886227544909,32.93413173652694,1366.65,4.9,100.0,upper,7200,8350,8350
2157,대진첨단소재,2025-03-06,9000,17830,12110,98.11111111111111,34.55555555555556,576.65,2.28,100.0,below_band,10900,13000,9000
2160,엘케이켐,2025-02-25,21000,64300,58800,206.19047619047618,180.0,1052.62,8.19,100.0,upper,18000,21000,21000
2154,위너스,2025-02-24,8500,23450,34000,175.88235294117646,300.0,1155.04,4.46,100.0,upper,7500,8500,8500
2145,모티브링크(구.용인전자),2025-02-20,6000,16500,17610,175.0,193.5,1075.52,3.36,28.93,upper,5100,6000,6000
2155,동국생명과학,2025-02-17,9000,12900,12530,43.333333333333336,39.22222222222223,117.83,1.92,32.63,below_band,12600,14300,9000
2156,오름테라퓨틱,2025-02-14,20000,21000,21800,5.0,9.0,16.93,10.93,100.0,below_band,24000,30000,20000
2150,동방메디컬,2025-02-13,10500,14730,9680,40.285714285714285,-7.809523809523809,910.14,5.77,34.27,upper,9000,10500,10500
2158,아이에스티이,2025-02-12,11400,14430,22500,26.57894736842105,97.36842105263158,1148.16,1.69,100.0,upper,9700,11400,11400
2149,LGCNS(유가),2025-02-05,61900,60500,55800,-2.2617124394184165,-9.8546042003231,114.38,10.57,100.0,upper,53700,61900,61900
2138,아이지넷,2025-02-04,7000,6110,4355,-12.714285714285714,-37.785714285714285,1138.59,0.4,100.0,upper,6000,7000,7000
2148,피아이이,2025-02-04,5000,5000,4365,0.0,-12.7,1117.74,0.63,40.15,upper,4000,5000,5000
2144,삼양엔씨켐(구.엔씨켐),2025-02-03,18000,23650,17960,31.38888888888889,-0.2222222222222222,1242.26,1.44,60.79,upper,16000,18000,18000
2133,데이원컴퍼니(구.패스트캠퍼스),2025-01-24,13000,10760,7800,-17.23076923076923,-40.0,114.98,0.0,46.63,below_band,22000,26700,13000
2139,아스테라시스,2025-01-24,4600,7770,6640,68.91304347826087,44.34782608695652,1242.4,9.98,100.0,upper,4000,4600,4600
2146,와이즈넛,2025-01-24,17000,14020,10800,-17.529411764705884,-36.470588235294116,64.85,0.32,66.97,below_band,24000,26000,17000
2153,미트박스글로벌,2025-01-23,19000,18600,14200,-2.1052631578947367,-25.263157894736842,849.95,0.0,57.86,lower,19000,23000,19000
2152,유안타스팩17호,2025-01-23,2000,2160,1914,8.0,-4.3,1200.2,0.0,100.0,upper,2000,2000,2000
2284,신한스팩18호,2026-04-30,2000,6070,2355,203.5,17.75,1388.6,0.0,100.0,upper,2000,2000,2000
2281,채비(구.대영채비),2026-04-29,12300,15250,22550,23.983739837398375,83.33333333333334,55.23,6.49,,lower,12300,15300,12300
2282,키움히어로스팩2호,2026-04-23,2000,4790,2735,139.5,36.75,1271.12,0.0,100.0,upper,2000,2000,2000
2275,인벤테라,2026-04-02,16600,39150,35250,135.84337349397592,112.34939759036145,1328.82,43.06,48.83,upper,12100,16600,16600
2279,교보스팩20호,2026-04-02,2000,4900,2020,145.0,1.0,1196.99,0.0,100.0,upper,2000,2000,2000
2280,신한스팩17호,2026-04-01,2000,5760,2045,188.0,2.25,1343.8,0.0,100.0,upper,2000,2000,2000
2270,리센스메디컬,2026-03-31,11000,37600,18450,241.8181818181818,67.72727272727272,1352.63,63.92,55.41,upper,9000,11000,11000
2277,NH스팩33호,2026-03-27,2000,3460,2660,73.0,33.0,1228.71,0.0,100.0,upper,2000,2000,2000
2274,메쥬,2026-03-26,21600,66000,39000,205.55555555555554,80.55555555555556,1108.93,75.4,33.3,upper,16700,21600,21600
2276,한패스,2026-03-25,19000,37100,27200,95.26315789473684,43.15789473684211,1172.59,27.43,31.63,upper,17000,19000,19000
2272,아이엠바이오로직스,2026-03-20,26000,104000,104000,300.0,300.0,839.23,76.01,,upper,19000,26000,26000
2269,카나프테라퓨틱스,2026-03-16,20000,68100,50600,240.49999999999997,153.0,962.1,76.1,40.68,upper,16000,20000,20000
2268,액스비스,2026-03-09,11500,46000,46000,300.0,300.0,1124.21,75.7,35.46,upper,10100,11500,11500
2273,에스팀,2026-03-06,8500,30650,34000,260.5882352941177,300.0,1334.91,42.45,39.31,upper,7000,8500,8500
2271,케이뱅크(유가),2026-03-05,8300,9000,8330,8.433734939759036,0.3614457831325301,198.53,12.39,42.64,lower,8300,9500,8300
2267,덕양에너젠,2026-01-30,10000,21050,34850,110.5,248.5,650.14,14.38,57.46,upper,8500,10000,10000
2266,삼성스팩13호,2026-01-21,2000,4890,7200,144.5,260.0,1159.11,0.0,100.0,upper,2000,2000,2000
